order_items_id,order_id,product_id,quantity_sold
1,1,64,6
2,1,67,7
3,1,21,4
4,2,130,1
5,2,174,9
6,2,9,2
7,2,108,7
8,2,111,10
9,3,36,7
10,3,155,5
11,4,196,7
12,4,30,6
13,5,68,3
14,5,164,8
15,5,35,3
16,6,166,5
17,6,22,8
18,7,1,4
19,7,47,10
20,8,25,1
21,8,54,4
22,8,116,10
23,9,160,5
24,9,140,2
25,9,156,7
26,10,43,1
27,10,197,9
28,10,52,10
29,10,196,2
30,10,14,3
31,11,137,2
32,12,88,8
33,12,176,8
34,12,102,1
35,12,181,2
36,12,88,4
37,13,108,3
38,13,9,9
39,13,36,8
40,13,28,8
41,14,77,4
42,14,141,6
43,14,190,7
44,14,130,1
45,15,73,7
46,15,14,10
47,16,168,8
48,16,157,2
49,16,165,5
50,17,177,3
51,17,20,9
52,17,149,8
53,18,117,4
54,18,33,1
55,19,54,3
56,19,115,2
57,19,119,1
58,19,192,7
59,20,29,2
60,20,160,8
61,20,27,1
62,20,48,8
63,20,84,4
64,21,89,9
65,21,137,5
66,21,122,4
67,22,140,2
68,22,157,8
69,22,13,5
70,22,194,1
71,23,93,1
72,23,143,9
73,24,109,6
74,24,131,10
75,24,76,3
76,25,103,8
77,25,33,4
78,25,95,1
79,26,175,4
80,26,37,5
81,27,85,5
82,27,116,4
83,27,42,2
84,27,7,4
85,27,65,4
86,28,195,7
87,28,100,3
88,28,38,6
89,28,32,9
90,28,54,4
91,29,168,5
92,29,11,5
93,30,36,8
94,30,182,5
95,30,88,3
96,30,102,7
97,31,106,8
98,31,42,6
99,31,86,1
100,32,135,9
101,32,117,10
102,32,170,4
103,32,167,3
104,33,139,8
105,33,49,9
106,33,75,9
107,34,31,3
108,34,59,2
109,35,167,5
110,35,98,3
111,35,93,4
112,36,162,1
113,36,130,1
114,36,181,7
115,36,189,8
116,37,13,9
117,37,23,4
118,37,59,5
119,38,170,5
120,38,51,8
121,38,146,5
122,38,163,3
123,39,195,1
124,39,24,7
125,39,28,6
126,39,40,3
127,40,113,5
128,40,49,9
129,40,191,6
130,41,66,3
131,42,27,1
132,43,184,8
133,43,133,1
134,44,10,1
135,44,92,8
136,44,9,6
137,44,112,10
138,44,70,2
139,45,77,4
140,45,196,9
141,45,45,10
142,45,99,10
143,45,172,3
144,46,65,7
145,47,120,6
146,47,173,10
147,48,51,7
148,48,27,8
149,48,31,4
150,48,18,5
151,48,60,1
152,49,26,10
153,50,180,5
154,50,148,6
155,50,171,6
156,50,106,7
157,51,182,3
158,51,34,5
159,51,12,10
160,51,125,4
161,52,29,8
162,52,12,7
163,52,18,1
164,52,200,4
165,53,181,8
166,53,15,7
167,54,168,10
168,54,191,3
169,54,42,6
170,54,27,4
171,54,167,4
172,55,79,3
173,56,77,8
174,56,179,3
175,56,162,7
176,57,167,2
177,57,8,3
178,57,56,9
179,58,62,1
180,58,42,6
181,59,122,10
182,59,16,10
183,59,35,7
184,59,89,10
185,60,112,4
186,60,108,7
187,61,154,4
188,62,92,9
189,62,200,9
190,63,38,8
191,63,145,4
192,63,171,6
193,64,99,5
194,64,141,3
195,64,64,7
196,64,67,5
197,64,163,4
198,65,44,9
199,65,166,1
200,65,150,7
201,65,32,8
202,65,21,7
203,66,88,6
204,67,48,6
205,67,93,2
206,67,117,3
207,68,35,7
208,69,73,4
209,69,14,2
210,69,64,6
211,69,120,7
212,70,159,4
213,70,167,7
214,70,115,5
215,70,123,1
216,71,114,1
217,71,123,3
218,71,97,5
219,72,93,4
220,72,117,7
221,73,165,2
222,73,9,5
223,73,142,4
224,73,31,4
225,73,139,10
226,74,131,10
227,74,175,7
228,74,26,7
229,74,110,8
230,74,2,10
231,75,166,10
232,75,190,1
233,75,190,3
234,75,131,6
235,76,100,1
236,76,17,1
237,76,27,9
238,77,57,10
239,77,46,9
240,77,4,5
241,77,13,4
242,77,28,5
243,78,122,10
244,78,155,3
245,78,150,9
246,78,142,4
247,79,6,1
248,79,145,9
249,80,97,7
250,80,56,7
251,80,60,9
252,80,32,8
253,81,160,2
254,81,50,7
255,81,119,5
256,81,181,8
257,82,152,9
258,82,177,6
259,83,7,4
260,84,155,2
261,84,17,10
262,84,97,1
263,85,118,1
264,85,101,9
265,85,54,8
266,85,186,7
267,85,80,3
268,86,173,1
269,86,197,10
270,86,53,4
271,87,104,6
272,88,88,3
273,88,149,1
274,88,104,4
275,88,104,2
276,88,120,7
277,89,26,2
278,89,67,9
279,90,176,10
280,90,51,10
281,91,40,6
282,91,26,9
283,91,179,7
284,92,49,4
285,93,188,4
286,93,4,8
287,93,68,2
288,93,93,10
289,94,38,4
290,95,129,2
291,95,9,5
292,95,125,10
293,95,105,3
294,96,5,8
295,96,57,3
296,96,78,3
297,96,44,1
298,96,98,9
299,97,38,5
300,98,79,4
301,98,29,5
302,98,163,10
303,98,137,8
304,98,191,10
305,99,73,6
306,99,11,5
307,99,95,8
308,99,179,1
