cart_item_id,user_id,product_id,quantity_added
1,101,349,2
2,101,948,8
3,102,539,2
4,102,177,4
5,102,12,6
6,102,924,4
7,102,324,5
8,102,840,1
9,102,267,8
10,102,536,4
11,102,160,7
12,102,425,2
13,103,644,7
14,103,595,4
15,103,393,3
16,103,349,10
17,104,947,4
18,104,256,5
19,104,97,1
20,104,473,9
21,104,410,9
22,104,176,5
23,104,846,8
24,104,111,2
25,105,537,5
26,105,486,2
27,105,111,9
28,105,702,1
29,105,420,9
30,105,61,6
31,105,753,2
32,105,366,4
33,106,972,9
34,106,968,2
35,106,473,3
36,107,422,4
37,107,877,3
38,107,928,8
39,107,898,4
40,107,155,5
41,107,295,1
42,107,625,9
43,107,383,3
44,108,173,3
45,108,13,5
46,108,282,7
47,108,595,7
48,108,56,1
49,108,887,1
50,109,997,6
51,110,646,4
52,111,54,5
53,111,499,1
54,111,121,1
55,111,463,8
56,111,816,2
57,111,243,3
58,111,747,6
59,111,285,4
60,111,571,3
61,112,13,3
62,112,476,3
63,112,473,10
64,112,83,5
65,112,426,6
66,112,921,4
67,113,806,8
68,113,289,4
69,113,744,2
70,113,946,9
71,113,417,2
72,114,311,6
73,114,158,3
74,114,707,4
75,114,294,8
76,115,659,8
77,115,468,2
78,115,875,6
79,115,297,1
80,115,10,8
81,116,615,7
82,116,104,6
83,116,712,10
84,116,667,10
85,116,645,6
86,116,710,2
87,116,805,5
88,116,738,7
89,116,826,8
90,116,738,9
91,117,252,5
92,117,167,1
93,117,361,8
94,117,703,2
95,117,442,6
96,117,81,3
97,117,819,5
98,118,753,3
99,118,790,1
100,118,783,9
101,118,995,6
102,118,176,9
103,118,433,9
104,118,524,1
105,118,880,2
106,119,156,5
107,119,112,10
108,119,901,4
109,119,589,4
110,119,716,7
111,119,157,8
112,119,444,1
113,119,835,1
114,120,436,6
115,120,182,7
116,120,843,2
117,120,772,9
118,120,444,2
119,120,711,4
120,120,409,2
121,120,703,6
122,120,607,3
123,121,861,2
124,121,712,9
125,122,214,1
126,122,551,10
127,122,668,6
128,122,259,1
129,122,763,5
130,122,175,7
131,122,977,8
132,122,875,5
133,122,51,10
134,123,842,5
135,123,278,7
136,123,18,4
137,123,375,10
138,123,537,2
139,123,890,6
140,123,674,4
141,124,74,6
142,124,630,5
143,124,578,4
144,124,392,9
145,124,252,6
146,125,994,10
147,125,843,2
148,125,674,8
149,125,966,7
150,125,412,10
151,125,722,9
152,126,289,4
153,126,425,3
154,126,413,6
155,127,413,1
156,127,469,6
157,127,593,5
158,127,573,6
159,127,866,1
160,127,758,1
161,127,927,7
162,127,333,8
163,127,125,7
164,128,565,3
165,129,655,10
166,129,271,3
167,129,281,9
168,129,732,6
169,129,26,6
170,130,322,4
171,130,190,7
172,131,862,4
173,131,23,2
174,131,501,10
175,131,33,8
176,131,178,1
177,131,133,6
178,131,220,5
179,131,68,10
180,131,973,1
181,131,287,5
182,132,605,1
183,132,213,1
184,132,162,10
185,133,63,2
186,133,692,5
187,134,716,4
188,134,396,9
189,134,811,7
190,134,25,8
191,135,511,2
192,135,115,1
193,135,315,4
194,136,364,4
195,136,152,6
196,136,769,9
197,136,322,7
198,136,849,1
199,137,387,6
200,137,502,4
201,137,439,10
202,138,649,5
203,138,901,9
204,138,34,6
205,138,60,5
206,138,662,1
207,138,757,5
208,138,953,8
209,138,889,3
210,138,562,3
211,138,311,6
212,139,198,4
213,139,99,5
214,139,336,2
215,139,796,1
216,139,908,7
217,140,709,6
218,140,693,5
219,140,31,8
220,140,707,1
221,140,628,3
222,140,772,9
223,140,610,7
224,140,707,2
225,140,337,8
226,140,939,10
227,141,496,3
228,141,208,10
229,141,674,10
230,142,97,1
231,142,162,7
232,142,578,9
233,142,19,8
234,142,167,5
235,142,13,4
236,142,467,8
237,142,769,10
238,142,969,4
239,143,521,1
240,144,7,8
241,144,11,2
242,144,744,2
243,144,595,5
244,145,4,10
245,145,349,8
246,145,900,8
247,145,844,9
248,145,403,3
249,146,643,5
250,146,942,9
251,146,79,1
252,147,800,9
253,147,669,5
254,147,981,2
255,147,14,7
256,147,853,1
257,147,48,3
258,147,177,4
259,147,704,4
260,147,691,5
261,147,102,5
262,148,748,5
263,148,416,2
264,148,220,7
265,149,430,2
266,149,53,1
267,149,551,8
268,149,321,2
269,150,467,4
270,150,340,4
271,150,601,2
272,150,835,1
273,150,892,9
274,151,277,10
275,151,76,2
276,151,730,8
277,151,454,2
278,152,110,2
279,152,536,4
280,153,725,4
281,153,220,7
282,153,550,6
283,153,153,6
284,153,592,9
285,153,649,4
286,153,721,5
287,154,53,4
288,154,629,7
289,154,426,9
290,154,850,5
291,154,125,2
292,154,23,7
293,154,956,9
294,155,23,3
295,155,595,4
296,155,881,2
297,155,866,5
298,155,311,10
299,155,150,4
300,155,929,2
301,155,517,4
302,155,398,6
303,155,162,3
304,156,859,7
305,156,599,2
306,156,381,4
307,156,102,1
308,156,454,3
309,157,842,4
310,157,97,3
311,157,196,8
312,157,471,6
313,157,358,10
314,157,590,1
315,158,375,3
316,158,586,1
317,158,732,8
318,159,144,9
319,159,491,8
320,159,840,4
321,159,546,10
322,159,293,2
323,159,769,1
324,160,875,6
325,160,338,7
326,160,871,8
327,160,761,7
328,160,174,6
329,160,434,1
330,161,155,3
331,161,988,10
332,161,382,9
333,161,690,2
334,161,991,4
335,161,529,10
336,161,514,8
337,161,703,2
338,161,170,2
339,162,569,1
340,162,693,10
341,162,834,6
342,162,501,10
343,162,603,6
344,162,535,10
345,162,973,8
346,163,678,7
347,163,589,9
348,163,21,9
349,163,691,8
350,163,310,10
351,163,778,3
352,163,848,5
353,163,58,5
354,163,677,2
355,163,572,6
356,164,855,10
357,164,300,6
358,164,773,5
359,164,723,2
360,165,442,4
361,166,482,9
362,166,143,9
363,166,846,9
364,166,365,9
365,166,45,1
366,166,87,3
367,166,570,10
368,166,340,4
369,167,299,6
370,167,473,10
371,167,837,1
372,167,860,1
373,167,963,8
374,167,336,6
375,167,30,3
376,167,850,10
377,168,203,2
378,168,359,9
379,168,150,4
380,168,580,3
381,169,16,3
382,169,599,6
383,169,144,5
384,169,438,2
385,169,522,3
386,169,307,8
387,169,734,8
388,170,752,8
389,170,127,10
390,170,129,5
391,170,857,7
392,171,716,4
393,171,831,1
394,171,904,3
395,171,977,6
396,171,282,4
397,171,256,5
398,172,629,4
399,172,331,7
400,172,730,1
401,173,398,6
402,173,646,3
403,173,872,1
404,174,632,7
405,174,400,1
406,174,660,3
407,174,822,7
408,174,972,1
409,174,593,3
410,174,981,5
411,174,134,10
412,174,606,8
413,174,446,2
414,175,300,1
415,175,874,3
416,175,677,7
417,175,366,2
418,176,804,2
419,176,452,4
420,176,629,9
421,176,124,6
422,177,41,10
423,177,504,6
424,177,417,2
425,177,359,10
426,177,569,2
427,177,923,9
428,177,1,6
429,177,114,3
430,177,756,2
431,178,280,3
432,178,852,4
433,178,189,5
434,178,119,4
435,178,796,9
436,178,516,8
437,178,495,10
438,179,852,2
439,179,487,9
440,179,308,4
441,179,505,5
442,179,609,10
443,180,937,9
444,180,531,2
445,180,804,7
446,180,986,9
447,180,706,10
448,181,23,4
449,181,380,7
450,181,493,8
451,182,676,5
452,182,386,5
453,183,160,2
454,183,735,9
455,183,520,6
456,183,425,8
457,183,220,4
458,183,796,8
459,183,686,10
460,184,384,8
461,184,741,1
462,184,549,1
463,184,586,9
464,184,406,10
465,184,464,3
466,184,129,5
467,184,466,5
468,184,338,4
469,185,58,7
470,185,564,4
471,185,650,1
472,185,573,9
473,185,368,8
474,185,85,10
475,185,787,5
476,185,415,4
477,185,73,3
478,185,535,4
479,186,305,2
480,186,348,10
481,186,660,7
482,186,331,3
483,186,499,4
484,186,773,2
485,186,369,2
486,186,429,2
487,186,446,10
488,187,423,7
489,187,695,10
490,187,402,8
491,187,507,7
492,187,685,1
493,188,422,5
494,188,727,1
495,188,15,1
496,188,329,9
497,188,467,8
498,188,287,2
499,188,397,1
500,189,216,2
501,189,746,3
502,189,578,3
503,189,965,7
504,189,402,2
505,189,461,4
506,189,811,8
507,189,849,1
508,189,44,8
509,190,834,5
510,191,499,1
511,191,221,6
512,191,24,2
513,191,925,8
514,191,527,9
515,192,139,10
516,192,193,4
517,192,550,10
518,192,691,5
519,193,598,5
520,193,799,7
521,193,943,4
522,193,400,1
523,193,541,3
524,193,780,4
525,194,779,10
526,194,332,7
527,194,848,9
528,194,943,9
529,194,903,7
530,194,238,8
531,194,401,8
532,195,715,3
533,195,329,5
534,195,491,6
535,195,323,8
536,196,618,5
537,196,87,9
538,196,73,5
539,196,382,5
540,196,97,8
541,196,242,2
542,196,8,5
543,196,903,10
544,196,890,6
545,197,47,3
546,197,806,5
547,197,232,10
548,197,434,3
549,197,50,3
550,197,712,4
551,197,741,3
552,197,685,8
553,198,739,6
554,198,379,1
555,198,953,7
556,198,968,3
557,198,517,4
558,198,691,2
559,198,245,2
560,198,697,1
561,199,499,4
562,199,264,4
563,199,44,2
564,200,317,8
565,200,491,10
566,200,479,7
567,200,14,2
568,201,742,7
569,201,651,6
570,201,46,10
571,201,992,10
572,201,405,9
573,201,567,2
574,202,557,7
575,202,304,4
576,202,380,9
577,202,531,4
578,202,965,6
579,203,768,8
580,203,730,5
581,203,452,4
582,203,922,1
583,203,813,4
584,203,272,3
585,203,132,3
586,203,568,1
587,204,267,4
588,204,649,6
589,204,317,6
590,204,754,5
591,204,915,8
592,204,991,2
593,204,562,3
594,204,883,2
595,205,52,9
596,205,980,4
597,205,309,6
598,205,349,4
599,205,396,8
600,205,710,2
601,205,809,10
602,205,321,9
603,206,412,5
604,206,263,5
605,206,862,10
606,206,336,1
607,206,755,7
608,206,590,1
609,206,748,1
610,207,325,7
611,207,126,2
612,207,774,5
613,207,545,8
614,207,608,2
615,207,635,7
616,208,853,5
617,208,261,2
618,208,42,5
619,208,16,3
620,208,912,2
621,208,951,4
622,208,750,1
623,208,998,9
624,208,24,2
625,208,655,6
626,209,20,10
627,209,101,8
628,209,280,9
629,209,259,7
630,209,38,10
631,209,423,2
632,209,813,4
633,209,587,8
634,210,825,7
635,210,984,5
636,210,176,8
637,210,402,10
638,211,487,10
639,212,499,4
640,212,688,10
641,212,974,9
642,213,376,1
643,213,758,3
644,213,860,2
645,213,670,10
646,213,623,8
647,214,567,2
648,214,832,6
649,214,825,5
650,214,813,8
651,215,262,9
652,216,317,1
653,216,288,8
654,217,672,5
655,217,864,8
656,217,786,9
657,217,985,10
658,217,744,6
659,217,661,6
660,217,738,7
661,217,350,3
662,217,565,7
663,217,252,8
664,218,421,7
665,218,948,4
666,218,343,6
667,218,36,8
668,218,544,7
669,218,569,6
670,218,400,4
671,219,240,3
672,220,313,8
673,220,527,9
674,220,181,9
675,221,580,4
676,221,715,3
677,221,319,9
678,221,524,1
679,221,460,3
680,222,944,5
681,222,86,8
682,223,828,5
683,223,233,9
684,223,648,3
685,223,951,9
686,223,779,9
687,224,988,4
688,224,960,9
689,224,30,1
690,224,160,10
691,225,937,3
692,226,73,5
693,226,945,5
694,226,121,1
695,226,237,2
696,226,725,9
697,226,627,4
698,226,148,9
699,226,350,6
700,227,392,5
701,227,988,9
702,228,394,6
703,228,468,3
704,228,537,4
705,228,832,6
706,228,437,9
707,228,586,9
708,228,598,1
709,229,615,3
710,229,237,8
711,229,734,2
712,229,177,7
713,230,199,5
714,230,600,2
715,230,556,6
