order_items_id,order_id,product_id,quantity_sold
1,1,923,2
2,1,992,3
3,1,573,6
4,2,711,10
5,2,888,10
6,2,108,1
7,2,287,6
8,2,653,3
9,3,239,3
10,4,569,10
11,4,218,9
12,5,571,1
13,5,972,5
14,5,153,7
15,5,194,9
16,6,861,4
17,6,171,9
18,6,757,6
19,6,940,4
20,7,710,2
21,7,963,4
22,7,765,8
23,7,533,7
24,7,295,8
25,8,757,9
26,8,672,1
27,8,980,9
28,8,573,5
29,8,348,7
30,9,725,9
31,9,715,9
32,9,718,4
33,9,547,6
34,10,476,10
35,10,168,8
36,11,307,4
37,12,128,3
38,12,241,10
39,12,670,7
40,12,286,8
41,12,301,3
42,13,315,10
43,13,662,10
44,13,790,5
45,13,900,7
46,14,154,1
47,14,603,5
48,14,755,6
49,15,957,3
50,15,51,6
51,15,346,5
52,16,507,3
53,16,711,6
54,16,565,9
55,17,341,5
56,17,994,8
57,17,649,5
58,17,191,4
59,18,174,9
60,18,287,7
61,18,48,3
62,18,532,1
63,18,543,8
64,19,588,2
65,19,396,8
66,19,570,3
67,20,872,3
68,20,651,1
69,21,777,6
70,21,750,8
71,22,106,8
72,22,324,10
73,22,415,10
74,23,52,4
75,23,383,1
76,23,670,3
77,23,815,6
78,23,320,8
79,24,304,5
80,24,752,2
81,25,316,2
82,25,23,2
83,25,642,6
84,25,382,2
85,26,651,7
86,26,16,1
87,26,848,8
88,26,142,8
89,27,740,10
90,27,279,8
91,28,664,9
92,28,312,6
93,29,799,8
94,29,181,9
95,29,814,5
96,30,419,8
97,31,446,8
98,31,519,6
99,31,522,7
100,31,905,6
101,31,97,2
102,32,451,1
103,32,281,5
104,32,590,2
105,32,966,2
106,33,452,7
107,33,951,7
108,33,129,9
109,33,190,10
110,33,899,9
111,34,247,7
112,34,125,3
113,34,41,10
114,35,197,9
115,35,98,6
116,35,495,2
117,35,836,10
118,36,348,9
119,36,43,5
120,36,311,10
121,36,254,1
122,37,410,6
123,37,39,4
124,37,149,4
125,37,823,8
126,38,956,7
127,38,443,8
128,38,866,5
129,38,307,4
130,39,746,7
131,39,955,1
132,40,350,6
133,40,502,4
134,41,550,8
135,41,264,2
136,41,623,2
137,41,193,7
138,42,711,10
139,42,392,4
140,42,559,9
141,43,458,2
142,43,682,1
143,43,142,1
144,43,883,9
145,44,291,7
146,44,943,9
147,44,208,4
148,44,474,5
149,44,925,1
150,45,388,1
151,45,136,7
152,45,385,10
153,46,978,4
154,46,20,7
155,46,467,6
156,47,413,4
157,47,165,3
158,47,910,1
159,48,320,9
160,48,612,9
161,48,313,4
162,48,855,9
163,48,497,6
164,49,363,5
165,49,621,4
166,49,141,7
167,49,487,1
168,50,226,7
169,50,418,3
170,50,120,5
171,50,765,3
172,50,719,5
173,51,613,4
174,51,800,4
175,51,730,8
176,51,9,4
177,51,77,2
178,52,281,9
179,52,138,6
180,52,560,8
181,52,975,6
182,53,403,6
183,53,70,5
184,54,140,2
185,54,456,5
186,54,286,10
187,54,624,6
188,54,638,4
189,55,28,10
190,55,66,6
191,55,875,9
192,55,386,4
193,56,432,8
194,56,747,3
195,56,725,5
196,57,505,3
197,57,129,7
198,57,949,2
199,57,754,1
200,57,302,3
201,58,537,9
202,58,702,3
203,58,41,3
204,58,653,6
205,59,434,10
206,59,753,9
207,59,333,10
208,59,980,6
209,59,899,9
210,60,283,6
211,61,602,9
212,61,195,2
213,62,814,2
214,63,666,1
215,63,348,3
216,63,306,10
217,63,464,6
218,63,244,8
219,64,298,9
220,65,680,7
221,65,114,2
222,65,820,10
223,66,49,2
224,67,156,7
225,67,96,7
226,67,87,2
227,67,678,9
228,67,612,6
229,68,970,7
230,68,208,4
231,69,304,5
232,69,401,10
233,69,164,4
234,69,914,6
235,70,667,2
236,70,448,7
237,71,766,3
238,71,653,3
239,71,397,8
240,71,555,8
241,71,21,7
242,72,19,1
243,72,64,10
244,72,183,1
245,73,477,4
246,73,807,5
247,74,304,9
248,74,275,7
249,74,769,3
250,75,780,6
251,76,111,10
252,76,465,9
253,76,709,3
254,76,459,1
255,76,934,2
256,77,738,5
257,77,462,1
258,77,554,5
259,77,500,8
260,78,403,2
261,79,440,7
262,80,742,5
263,80,665,3
264,80,398,10
265,80,866,10
266,81,84,5
267,81,327,4
268,82,242,5
269,83,899,3
270,83,347,3
271,83,281,10
272,83,185,4
273,84,995,6
274,84,548,6
275,85,223,6
276,85,454,8
277,86,118,6
